person_id,name,degree_centrality,betweenness_centrality,pagerank,influence_score,community,communication_anomaly,financial_anomaly,transaction_cycle_count,cycle_score,layering_chain_count,layering_score,cross_community_edges,bridge_score,network_influence,investigation_priority_score
P044,Imran Sharma,0.24228028503562946,0.041272631031745284,0.003346480521064154,0.0901970820797062,1,100.0,1.878896152087716,0.0,0.0,0.0,0.0,55,100.0,100.0,65.28183442281315
P027,Aditya Khan,0.10926365795724466,0.01334428264408091,0.005547427093911665,0.03978103857297926,1,1.2139477838141148,85.15467277753447,0.0,0.0,1.0,100.0,21,26.080714292068908,36.698428256434276,37.40674039591534
P011,Sahil Singh,0.0997624703087886,0.013745435184825199,0.00392469431997932,0.036604323462560456,3,1.5379211677836295,67.32412638527006,1.0,100.0,0.0,0.0,29,43.457555935857755,32.709795958379914,37.275163368113766
P019,Kabir Kulkarni,0.09501187648456058,0.023248023297761548,0.0034771077234490044,0.03884590458150749,1,1.0201951448695197,48.81754784862745,0.0,0.0,1.0,100.0,19,21.730409905110587,35.52428908696337,30.75382545903098
P013,Pranav Jadhav,0.14489311163895488,0.020393611840320167,0.003988659820183306,0.05282197617386952,2,2.667772383086537,57.48235334930612,0.0,0.0,0.0,0.0,27,39.108667002163244,53.07241934591696,30.245745715925118
P033,Pranav Gupta,0.10926365795724466,0.03105884175850878,0.0043072402907502715,0.046494806177801995,1,1.183314302773965,14.045295814787377,0.0,0.0,1.0,100.0,24,32.59370928077202,45.12812666483095,30.14423075513504
P083,Rahul Joshi 2,0.11876484560570072,0.028585858989245407,0.004157743277163628,0.048311120260557464,5,2.5538698360363177,45.872224170782204,0.0,0.0,0.0,0.0,28,41.28255148556742,47.408661356194685,27.500283228986753
P088,Karan Jadhav 2,0.09263657957244656,0.01688591872642407,0.0033798691977432534,0.03555930212162657,4,1.1088468611219355,70.05168202593296,0.0,0.0,0.0,0.0,28,41.283106963975925,31.39768400382209,26.83556406986504
P024,Imran Pawar,0.07363420427553445,0.00682384240442255,0.0031090784926718863,0.02575252179223092,3,0.42251478046309604,51.51994933541313,1.0,100.0,0.0,0.0,18,19.555286341394336,19.084448664127148,26.49466479071524
P078,Irfan Gupta 2,0.12589073634204276,0.01322774723645393,0.005945968077264868,0.04484211022037386,5,2.6354294149885398,47.94926143008326,0.0,0.0,0.0,0.0,23,30.41358805257787,43.05302825482821,24.565449771732823
P090,Aman More 2,0.19239904988123516,0.014987617766648151,0.006468679459363178,0.06565536590883876,5,3.4918049939868787,0.0,0.0,0.0,0.0,0.0,24,32.589240026649314,69.18581667970221,24.512663174052793
P099,Kabir Pawar 2,0.08076009501187649,0.009798827896721546,0.003638914791717287,0.02923923409976675,3,0.5076204280654153,79.47653896197342,0.0,0.0,0.0,0.0,24,32.58486693095944,23.46230844709888,24.405555427875704
P147,Aditya Khan 3,0.09738717339667459,0.015581948307167129,0.0038494677003575724,0.0366037716519765,1,0.9966130875422958,60.869278433383734,0.0,0.0,0.0,0.0,24,32.592851567705736,32.70910311390344,24.025560474533023
P018,Irfan Gupta,0.07838479809976247,0.008637714460353175,0.003759205429333215,0.028098286842869975,4,1.0272872821697128,88.15162467614986,0.0,0.0,0.0,0.0,20,23.901851968690075,22.029753458359252,23.716009916184248
P089,Nikhil Sharma 2,0.08551068883610452,0.00782188310714679,0.004102896848616178,0.030012828948274926,2,0.3870540939621296,86.94621349419003,0.0,0.0,0.0,0.0,19,21.73070102765761,24.433621671960708,23.57388846644263
P050,Aman Bhosale,0.19239904988123516,0.01981930515662422,0.006244871040427741,0.06752089833914855,2,4.402228303230922,0.0,0.0,0.0,0.0,0.0,20,23.90300698279586,71.52814913507324,23.543084340973664
P049,Nikhil Kulkarni,0.06888361045130642,0.008615124460380931,0.0032036585751783098,0.025072230492097787,1,0.9966130875422958,100.0,0.0,0.0,0.0,0.0,16,15.210482604727929,18.230285870964785,22.79899060619524
P052,Manish Chavan,0.0831353919239905,0.010116401160486092,0.0033183619795366477,0.02998268663525258,2,1.0396985224450512,62.71757707619512,0.0,0.0,0.0,0.0,25,34.76347690910624,24.395775469490527,22.667215515112158
P046,Rohan Mehta,0.10688836104513065,0.019971059251399317,0.004614692316009425,0.041439339708901755,1,0.9958645618331711,49.26608794724861,0.0,0.0,0.0,0.0,21,26.07535643521072,38.78056443822387,22.499298501052035
P118,Irfan Jadhav 2,0.07838479809976247,0.013930813969641676,0.0029000044399035076,0.029957766349756467,5,1.0946625865215491,65.7133216340569,0.0,0.0,0.0,0.0,23,30.411605046255584,24.364485960626315,22.24937326182054
P136,Mohit Mehta 3,0.0831353919239905,0.0175857217222927,0.003331819011147287,0.03297445196945842,3,1.0875704492213558,59.396806658861,0.0,0.0,0.0,0.0,23,30.414081790252023,28.1521878091037,22.24789839899975
P029,Nikhil Sharma,0.09026128266033255,0.014325592879570881,0.004226367622419383,0.03407653223665393,1,1.2972803970913855,68.87161940908723,0.0,0.0,0.0,0.0,18,19.562991458706726,29.535942031938273,21.886782790507276
P074,Faizan Sharma 2,0.09738717339667459,0.019926409341590193,0.004936952766579574,0.038667801585612324,3,0.9966130875422958,31.920838306843276,0.0,0.0,0.0,0.0,27,39.10851505552424,35.30066583554942,21.634317833527152
P037,Varun Chavan,0.06888361045130642,0.0076529597156169225,0.0037521197813327376,0.024851902956038514,1,1.045017625420196,19.716613932566005,1.0,100.0,0.0,0.0,18,19.55309562438576,17.95364616739348,21.565526281694464
P051,Sahil Deshmukh,0.1163895486935867,0.0106731125871736,0.0051088363761948715,0.0407187605558039,5,2.4563529481586595,14.319504132140025,0.0,0.0,0.0,0.0,30,45.625204853252235,37.87581686614088,21.233191396638404
P079,Kabir Kulkarni 2,0.0831353919239905,0.011238213533584129,0.003743670651166834,0.03055900418598085,4,1.034379419469906,54.092752758075754,0.0,0.0,0.0,0.0,24,32.58668431434993,25.119390498496795,21.11797328509953
P144,Imran Pawar 3,0.08076009501187649,0.011449436951774312,0.0037158865506976865,0.029922569249481976,2,0.17783604360642766,60.7122439380782,0.0,0.0,0.0,0.0,22,28.242649238416096,24.32029304874314,20.871006909302018
